1-к. квартира, 28,2м², 13/17эт.;/stavropol/kvartiry/1-k._kvartira_282m_1317et._2329126106;3100000₽;ул. Пирогова, д. 5/3, блок-секция 1-3
1-к. квартира, 36,1 м², 5/18 эт.;/stavropol/kvartiry/1-k._kvartira_361_m_518_et._2347253520;3068500₽;ул. Матрёны Наздрачёвой, д. 7/1
1-к. квартира, 38м², 21/25эт.;/stavropol/kvartiry/1-k._kvartira_38m_2125et._2303250256;3000000₽;ул. Доваторцев, д. 82/2, блок-секция 1-3
1-к. квартира, 36,1 м², 10/18 эт.;/stavropol/kvartiry/1-k._kvartira_361_m_1018_et._2347337999;3068500₽;ул. Матрёны Наздрачёвой, д. 5/2
1-к. квартира, 35,6м², 20/20эт.;/stavropol/kvartiry/1-k._kvartira_356m_2020et._2309789411;2989200₽;ул. Матрёны Наздрачёвой, з/у 3/3
1-к. квартира, 35,7 м², 6/18 эт.;/stavropol/kvartiry/1-k._kvartira_357_m_618_et._2347208360;3034500₽;ул. Матрёны Наздрачёвой, д. 7/1
1-к. квартира, 38,2м², 6/17эт.;/stavropol/kvartiry/1-k._kvartira_382m_617et._2246102889;3500000₽;ул. Генерала Маргелова, д. 3/1
1-к. квартира, 64,7 м², 5/18 эт.;/stavropol/kvartiry/1-k._kvartira_647_m_518_et._2346897006;4690750₽;ул. Матрёны Наздрачёвой, д. 7
1-к. квартира, 42м², 8/9эт.;/stavropol/kvartiry/1-k._kvartira_42m_89et._2330403614;2860000₽;ул. Чапаева, д. 4/1Б
1-к. квартира, 26м², 5/6эт.;/stavropol/kvartiry/1-k._kvartira_26m_56et._2215247060;2450000₽;ул. Пригородная, д. 251А
1-к. квартира, 41,5м², 7/9эт.;/stavropol/kvartiry/1-k._kvartira_415m_79et._2350115511;2628120₽;ул. Чапаева, д. 4/1Б
1-к. квартира, 34,3 м², 10/18 эт.;/stavropol/kvartiry/1-k._kvartira_343_m_1018_et._2347304518;2915500₽;ул. Матрёны Наздрачёвой, д. 5/2
1-к. квартира, 32,2м², 17/18эт.;/stavropol/kvartiry/1-k._kvartira_322m_1718et._2360208358;2500000₽;ул. Тюльпановая, д. 12
1-к. квартира, 34м², 8/18эт.;/stavropol/kvartiry/1-k._kvartira_34m_818et._2066582939;3690000₽;ул. Тухачевского, д. 30/7
1-к. квартира, 30м², 17/18эт.;/stavropol/kvartiry/1-k._kvartira_30m_1718et._2327951818;2380000₽;ул. Тюльпановая, д. 12
1-к. квартира, 35,7 м², 10/18 эт.;/stavropol/kvartiry/1-k._kvartira_357_m_1018_et._2347810842;3034500₽;ул. Матрёны Наздрачёвой, д. 7
1-к. квартира, 39,7м², 12/18эт.;/stavropol/kvartiry/1-k._kvartira_397m_1218et._2320524540;3500000₽;ул. Тухачевского, д. 30/8
1-к. квартира, 34,5м², 6/20эт.;/stavropol/kvartiry/1-k._kvartira_345m_620et._2326532976;3150000₽;ул. Матрёны Наздрачёвой, з/у 3/1
1-к. квартира, 32,3м², 10/18эт.;/stavropol/kvartiry/1-k._kvartira_323m_1018et._2264610907;2500000₽;ул. Тюльпановая, д. 12
1-к. квартира, 37,4м², 2/18эт.;/stavropol/kvartiry/1-k._kvartira_374m_218et._2360758057;2880000₽;ул. Тюльпановая, д. 12
1-к. квартира, 32,5м², 16/18эт.;/stavropol/kvartiry/1-k._kvartira_325m_1618et._2232432915;2500000₽;ул. Тюльпановая, д. 12
1-к. квартира, 43м², 16/16эт.;/stavropol/kvartiry/1-k._kvartira_43m_1616et._2287391813;4400000₽;ул. Генерала Маргелова, д. 5/2
1-к. квартира, 36м², 2/20эт.;/stavropol/kvartiry/1-k._kvartira_36m_220et._2221327427;3000000₽;ул. Матрёны Наздрачёвой, з/у 3
1-к. квартира, 29м², 6/6эт.;/stavropol/kvartiry/1-k._kvartira_29m_66et._2330798515;1850000₽;ул. Пригородная, д. 251А
1-к. квартира, 40м², 15/16эт.;/stavropol/kvartiry/1-k._kvartira_40m_1516et._2275568723;4300000₽;ул. Пирогова, д. 5/3, блок-секция 1-3
1-к. квартира, 40,1м², 14/25эт.;/stavropol/kvartiry/1-k._kvartira_401m_1425et._2080069543;2660000₽;ул. Тюльпановая, д. 10
1-к. квартира, 39м², 6/16эт.;/stavropol/kvartiry/1-k._kvartira_39m_616et._2249310535;2535000₽;ул. Южный Обход, д. 53Г
1-к. квартира, 39,8м², 10/25эт.;/stavropol/kvartiry/1-k._kvartira_398m_1025et._2080593547;2698000₽;ул. Тюльпановая, д. 10
1-к. квартира, 38,4м², 1/26эт.;/stavropol/kvartiry/1-k._kvartira_384m_126et._2271900707;2950000₽;ул. Доваторцев, д. 82/2, блок-секция 1-3
1-к. квартира, 40,2м², 1/9эт.;/stavropol/kvartiry/1-k._kvartira_402m_19et._2350192000;2562080₽;ул. Чапаева, д. 4/1Б
1-к. квартира, 44,5м², 3/16эт.;/stavropol/kvartiry/1-k._kvartira_445m_316et._2249505517;2893000₽;ул. Южный Обход, д. 53Г
1-к. квартира, 38м², 7/9эт.;/stavropol/kvartiry/1-k._kvartira_38m_79et._2329191828;2499000₽;пр-д Чапаевский , д. 57
1-к. квартира, 38м², 4/8эт.;/stavropol/kvartiry/1-k._kvartira_38m_48et._2243472017;2964000₽;кв-л 529, жилой дом
1-к. квартира, 41,5м², 5/9эт.;/stavropol/kvartiry/1-k._kvartira_415m_59et._1824509229;2628120₽;ул. Чапаева, д. 4/1Б
1-к. квартира, 54м², 4/8эт.;/stavropol/kvartiry/1-k._kvartira_54m_48et._2240709997;3780000₽;Ставрополь, Промышленный район, микрорайон № 35
1-к. квартира, 40м², 1/20эт.;/stavropol/kvartiry/1-k._kvartira_40m_120et._2329339816;3400000₽;ул. Матрёны Наздрачёвой, з/у 3/1
1-к. квартира, 34,2м², 9/14эт.;/stavropol/kvartiry/1-k._kvartira_342m_914et._2308132682;3100000₽;ул. Матрёны Наздрачёвой, з/у 3/1
1-к. квартира, 35м², 17/20эт.;/stavropol/kvartiry/1-k._kvartira_35m_1720et._2345459159;2965000₽;ул. Матрёны Наздрачёвой, з/у 3/3
1-к. квартира, 42м², 14/18эт.;/stavropol/kvartiry/1-k._kvartira_42m_1418et._2334933931;3800000₽;ул. Генерала Маргелова, д. 3/1
1-к. квартира, 46,3м², 2/14эт.;/stavropol/kvartiry/1-k._kvartira_463m_214et._2330161357;4030000₽;ул. Генерала Маргелова, д. 5/1
1-к. квартира, 36м², 2/18эт.;/stavropol/kvartiry/1-k._kvartira_36m_218et._2330645567;3250000₽;ул. Тухачевского, 30/7
1-к. квартира, 43м², 2/18эт.;/stavropol/kvartiry/1-k._kvartira_43m_218et._2289339317;4200000₽;ул. Генерала Маргелова, д. 7/2
1-к. квартира, 33,5м², 8/14эт.;/stavropol/kvartiry/1-k._kvartira_335m_814et._2357130135;3500000₽;ул. Генерала Маргелова, д. 5/1
1-к. квартира, 33,5м², 6/18эт.;/stavropol/kvartiry/1-k._kvartira_335m_618et._2321480750;3900000₽;ул. Матрёны Наздрачёвой, д. 7
1-к. квартира, 33,4м², 16/20эт.;/stavropol/kvartiry/1-k._kvartira_334m_1620et._2249540451;3070000₽;ул. Матрёны Наздрачёвой, з/у 3/1
1-к. квартира, 37,3м², 9/9эт.;/stavropol/kvartiry/1-k._kvartira_373m_99et._2336514757;2750000₽;ул. Чапаева, д. 4/1, корп. Б
1-к. квартира, 33,7м², 2/18эт.;/stavropol/kvartiry/1-k._kvartira_337m_218et._2249190573;3000000₽;ул. Матрёны Наздрачёвой, д. 5/2
1-к. квартира, 36м², 7/15эт.;/stavropol/kvartiry/1-k._kvartira_36m_715et._2344385861;2950000₽;ул. Рогожникова, д. 23, корп. 3, блок-секция 21
1-к. квартира, 45м², 2/14эт.;/stavropol/kvartiry/1-k._kvartira_45m_214et._2096200054;4399000₽;ул. Генерала Маргелова, д. 7/1
1-к. квартира, 34м², 5/14эт.;/stavropol/kvartiry/1-k._kvartira_34m_514et._2249052488;3350000₽;ул. Генерала Маргелова, д. 5/1
1-к. квартира, 38,6м², 6/16эт.;/stavropol/kvartiry/1-k._kvartira_386m_616et._2335669289;2400000₽;ул. Доваторцев, 90/7
1-к. квартира, 40м², 14/25эт.;/stavropol/kvartiry/1-k._kvartira_40m_1425et._1792571157;2660000₽;ул. Тюльпановая, д. 10
1-к. квартира, 37,5м², 15/25эт.;/stavropol/kvartiry/1-k._kvartira_375m_1525et._2310273020;3000000₽;ул. Доваторцев, д. 82/2, блок-секция 1-3
1-к. квартира, 33м², 15/18эт.;/stavropol/kvartiry/1-k._kvartira_33m_1518et._2168762237;2500000₽;ул. Тюльпановая, д. 12
1-к. квартира, 34м², 1/18эт.;/stavropol/kvartiry/1-k._kvartira_34m_118et._2299324518;3000000₽;ул. Генерала Маргелова, д. 3/1
1-к. квартира, 42м², 3/4эт.;/stavropol/kvartiry/1-k._kvartira_42m_34et._2360625389;3540000₽;ул. Рогожникова, д. 19/6
1-к. квартира, 38м², 9/25эт.;/stavropol/kvartiry/1-k._kvartira_38m_925et._2315729733;3100000₽;ул. Доваторцев, д. 82/2, блок-секция 1-3
1-к. квартира, 38,7м², 3/8эт.;/stavropol/kvartiry/1-k._kvartira_387m_38et._1984632379;3212100₽;ул. Рогожникова, д. 19/5
1-к. квартира, 33,5м², 15/20эт.;/stavropol/kvartiry/1-k._kvartira_335m_1520et._2317603471;3150000₽;ул. Матрёны Наздрачёвой, з/у 3/1
1-к. квартира, 45м², 12/14эт.;/stavropol/kvartiry/1-k._kvartira_45m_1214et._2336954434;4350000₽;ул. Генерала Маргелова, д. 5/1
1-к. квартира, 41м², 18/18эт.;/stavropol/kvartiry/1-k._kvartira_41m_1818et._2345272781;3560000₽;ул. Тухачевского, д. 30/7
1-к. квартира, 36,6м², 2/18эт.;/stavropol/kvartiry/1-k._kvartira_366m_218et._2168317233;2820000₽;ул. Тюльпановая, д. 12
1-к. квартира, 30,4м², 17/18эт.;/stavropol/kvartiry/1-k._kvartira_304m_1718et._2360699259;2380000₽;ул. Тюльпановая, д. 12
1-к. квартира, 35,1 м², 7/16 эт.;/stavropol/kvartiry/1-k._kvartira_351_m_716_et._2320137341;1700000₽;ул. Доваторцев, д. 90/3
1-к. квартира, 36м², 17/18эт.;/stavropol/kvartiry/1-k._kvartira_36m_1718et._2328738214;4190000₽;ул. Генерала Маргелова, д. 7/2
1-к. квартира, 43м², 1/16эт.;/stavropol/kvartiry/1-k._kvartira_43m_116et._2249014350;3620000₽;ул. Генерала Маргелова, д. 5/2
1-к. квартира, 33,5м², 7/9эт.;/stavropol/kvartiry/1-k._kvartira_335m_79et._2302727323;3200000₽;ул. Матрёны Наздрачёвой, з/у 3
1-к. квартира, 33,4м², 16/20эт.;/stavropol/kvartiry/1-k._kvartira_334m_1620et._2309766814;3070000₽;ул. Матрёны Наздрачёвой, з/у 3/1
